"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 07, 2016","96.383","96.125","96.390","95.990","16.06K","0.26%"
"Jul 06, 2016","96.131","96.335","96.630","96.045","31.23K","-0.13%"
"Jul 05, 2016","96.259","95.625","96.340","95.375","21.41K","0.57%"
"Jul 04, 2016","95.714","95.750","95.960","95.565","5.39K","0.00%"
"Jul 01, 2016","95.714","95.955","96.170","95.480","21.14K","-0.51%"
"Jun 30, 2016","96.203","95.700","96.480","95.520","40.03K","0.41%"
"Jun 29, 2016","95.807","96.140","96.270","95.625","20.24K","-0.54%"
"Jun 28, 2016","96.331","96.565","96.570","95.920","20.69K","-0.38%"
"Jun 27, 2016","96.703","96.115","96.865","95.935","28.57K","1.18%"
"Jun 24, 2016","95.574","93.750","96.700","93.730","66.05K","2.19%"
"Jun 23, 2016","93.527","93.620","93.675","93.025","29.25K","-0.25%"
"Jun 22, 2016","93.758","94.120","94.180","93.500","15.47K","-0.32%"
"Jun 21, 2016","94.061","93.620","94.195","93.470","19.21K","0.40%"
"Jun 20, 2016","93.684","94.060","94.060","93.545","20.69K","-0.70%"
"Jun 17, 2016","94.340","94.490","94.740","94.165","23.07K","-0.39%"
"Jun 16, 2016","94.706","94.655","95.535","94.260","40.52K","0.03%"
"Jun 15, 2016","94.680","95.020","95.150","94.415","23.62K","-0.38%"
"Jun 14, 2016","95.040","94.480","95.140","94.395","22.52K","0.68%"
"Jun 13, 2016","94.399","94.680","94.755","94.455","2.30K","-0.17%"
"Jun 10, 2016","94.561","94.135","94.725","94.055","21.51K","0.65%"
"Jun 09, 2016","93.952","93.530","94.105","93.435","22.65K","0.40%"
"Jun 08, 2016","93.580","93.870","93.870","93.410","35.80K","-0.27%"
"Jun 07, 2016","93.832","93.980","94.075","93.745","20.41K","-0.06%"
"Jun 06, 2016","93.890","93.945","94.265","93.740","30.34K","-0.15%"
"Jun 03, 2016","94.028","95.565","95.640","93.860","34.59K","-1.61%"
"Jun 02, 2016","95.566","95.400","95.580","95.150","17.54K","0.12%"
"Jun 01, 2016","95.456","95.800","95.905","95.340","19.51K","-0.44%"
"May 31, 2016","95.878","95.600","95.890","95.455","17.72K","0.40%"
"May 30, 2016","95.500","95.760","95.960","95.670","8.30K","0.00%"
"May 27, 2016","95.500","95.150","95.770","95.075","18.43K","0.36%"
"May 26, 2016","95.162","95.400","95.410","94.925","18.58K","-0.19%"
"May 25, 2016","95.340","95.650","95.665","95.320","11.33K","-0.25%"
"May 24, 2016","95.576","95.280","95.670","95.205","13.64K","0.38%"
"May 23, 2016","95.216","95.310","95.475","95.110","11.76K","-0.13%"
"May 20, 2016","95.343","95.295","95.465","95.180","10.92K","0.05%"
"May 19, 2016","95.294","95.190","95.510","95.125","22.69K","0.24%"
"May 18, 2016","95.063","94.525","95.230","94.510","24.26K","0.56%"
"May 17, 2016","94.531","94.550","94.740","94.310","11.83K","-0.02%"
"May 16, 2016","94.550","94.610","94.675","94.380","13.13K","-0.05%"
"May 13, 2016","94.593","94.150","94.845","94.100","23.16K","0.49%"
"May 12, 2016","94.128","93.820","94.160","93.780","18.76K","0.36%"
"May 11, 2016","93.790","94.215","94.215","93.650","18.92K","-0.51%"
"May 10, 2016","94.267","94.130","94.335","94.015","13.36K","0.16%"
"May 09, 2016","94.115","93.870","94.195","93.800","14.01K","0.25%"
"May 06, 2016","93.883","93.750","93.955","93.085","21.44K","0.11%"
"May 05, 2016","93.780","93.240","93.860","93.170","18.22K","0.64%"
"May 04, 2016","93.187","92.955","93.360","92.835","30.46K","0.28%"
"May 03, 2016","92.931","92.620","93.030","91.880","31.40K","0.34%"
"May 02, 2016","92.618","92.995","93.065","92.500","22.40K","-0.47%"
"Apr 29, 2016","93.054","93.720","93.720","92.975","32.88K","-0.72%"
"Apr 28, 2016","93.727","94.350","94.570","93.665","29.79K","-0.68%"
"Apr 27, 2016","94.367","94.495","94.820","94.095","26.14K","-0.19%"
"Apr 26, 2016","94.543","94.730","94.775","94.155","21.39K","-0.27%"
"Apr 25, 2016","94.801","95.045","95.100","94.650","15.04K","-0.29%"
"Apr 22, 2016","95.080","94.605","95.180","94.435","21.34K","0.54%"
"Apr 21, 2016","94.574","94.510","94.685","93.845","44.40K","0.11%"
"Apr 20, 2016","94.471","94.095","94.565","93.900","15.59K","0.56%"
"Apr 19, 2016","93.947","94.500","94.525","93.890","17.53K","-0.54%"
"Apr 18, 2016","94.460","94.690","94.810","94.365","14.29K","-0.24%"
"Apr 15, 2016","94.686","94.910","95.040","94.485","16.30K","-0.23%"
"Apr 14, 2016","94.908","94.830","95.210","94.685","23.23K","0.15%"
"Apr 13, 2016","94.762","94.045","94.835","94.000","26.03K","0.87%"
"Apr 12, 2016","93.945","93.980","94.385","93.620","23.99K","0.00%"
"Apr 11, 2016","93.942","94.150","94.350","93.745","20.71K","-0.33%"
"Apr 08, 2016","94.252","94.585","94.700","94.090","19.26K","-0.27%"
"Apr 07, 2016","94.504","94.455","94.670","94.035","26.25K","0.07%"
"Apr 06, 2016","94.441","94.635","95.075","94.240","32.36K","-0.21%"
"Apr 05, 2016","94.637","94.615","94.990","94.455","21.14K","0.12%"
"Apr 04, 2016","94.524","94.560","94.830","94.415","11.47K","-0.10%"
"Apr 01, 2016","94.618","94.620","95.100","94.325","28.25K","0.04%"
"Mar 31, 2016","94.578","94.850","95.015","94.295","20.68K","-0.25%"
"Mar 30, 2016","94.819","95.185","95.220","94.560","26.87K","-0.34%"
"Mar 29, 2016","95.146","95.945","96.230","95.080","30.02K","-0.83%"
"Mar 28, 2016","95.940","96.270","96.420","95.840","10.60K","-0.24%"
"Mar 24, 2016","96.173","96.095","96.385","96.060","13.12K","0.11%"
"Mar 23, 2016","96.064","95.640","96.240","95.630","14.47K","0.44%"
"Mar 22, 2016","95.644","95.445","95.750","95.275","20.35K","0.36%"
"Mar 21, 2016","95.304","95.100","95.410","95.020","12.49K","0.19%"
"Mar 18, 2016","95.120","94.800","95.195","94.605","20.39K","0.34%"
"Mar 17, 2016","94.801","95.775","95.865","94.675","30.54K","-1.17%"
"Mar 16, 2016","95.925","96.660","97.090","95.560","30.94K","-0.77%"
"Mar 15, 2016","96.668","96.650","96.905","96.490","12.48K","0.15%"
"Mar 14, 2016","96.521","96.295","96.505","96.175","1.29K","0.36%"
"Mar 11, 2016","96.172","96.175","96.705","95.940","16.88K","0.12%"
"Mar 10, 2016","96.055","97.295","98.430","95.940","52.91K","-1.14%"
"Mar 09, 2016","97.159","97.260","97.580","96.935","27.94K","-0.05%"
"Mar 08, 2016","97.206","97.070","97.280","96.895","16.22K","0.13%"
"Mar 07, 2016","97.084","97.335","97.700","97.045","14.49K","-0.27%"
"Mar 04, 2016","97.343","97.645","98.050","97.025","33.76K","-0.26%"
"Mar 03, 2016","97.601","98.235","98.355","97.460","22.22K","-0.64%"
"Mar 02, 2016","98.225","98.330","98.595","98.150","14.51K","-0.14%"
"Mar 01, 2016","98.365","98.205","98.585","98.110","19.34K","0.15%"
"Feb 29, 2016","98.219","98.180","98.390","97.825","19.93K","0.04%"
"Feb 26, 2016","98.175","97.340","98.285","97.115","26.71K","0.92%"
"Feb 25, 2016","97.282","97.540","97.735","97.225","15.81K","-0.19%"
"Feb 24, 2016","97.464","97.480","97.925","97.240","27.97K","-0.02%"
"Feb 23, 2016","97.485","97.350","97.580","97.150","14.12K","0.10%"
"Feb 22, 2016","97.388","96.745","97.615","96.725","15.60K","0.81%"
"Feb 19, 2016","96.604","96.750","97.260","96.575","17.97K","-0.37%"
"Feb 18, 2016","96.960","96.835","97.100","96.705","13.50K","0.17%"
"Feb 17, 2016","96.800","96.985","97.115","96.645","14.19K","-0.08%"
"Feb 16, 2016","96.875","96.635","97.000","96.400","17.32K","0.93%"
"Feb 15, 2016","95.982","96.120","96.910","96.070","13.39K","0.00%"
"Feb 12, 2016","95.982","95.695","96.250","95.545","27.58K","0.38%"
"Feb 11, 2016","95.619","95.685","95.900","95.280","49.09K","-0.33%"
"Feb 10, 2016","95.936","96.030","96.770","95.780","35.60K","-0.16%"
"Feb 09, 2016","96.094","96.685","96.850","95.675","41.04K","-0.50%"
"Feb 08, 2016","96.581","97.050","97.500","96.565","31.57K","-0.49%"
"Feb 05, 2016","97.054","96.545","97.305","96.040","42.34K","0.59%"
"Feb 04, 2016","96.487","97.185","97.480","96.270","48.43K","-0.84%"
"Feb 03, 2016","97.301","98.840","98.955","96.885","60.54K","-1.61%"
"Feb 02, 2016","98.893","99.035","99.105","98.790","19.63K","-0.14%"
"Feb 01, 2016","99.028","99.700","99.750","98.950","27.83K","-0.63%"
